arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.383511788925917,0.00724724576753102,0.0032290456770115
int,check,notx,0.616488211074084,0.611143625497928,0.99677095432299
int,check,tpt,0,0.381609128734541,0
int,cost,att,13988.7492963059,73976.1437687396,88393.5798555724
int,cost,notx,5215.85490093408,718.068039040343,234.992792535059
int,cost,tpt,Inf,3112.22357911911,Inf
int,ppdcost,att,0.934728348405773,0.393667893200036,0.491205699128623
int,ppdcost,tpt,0.520090470359282,0.689600957327205,0.400739783475743
soc,check,att,0.072650684121041,0.00258639734837592,0.00187867872016023
soc,check,notx,0.927349315878958,0.974943314978024,0.99812132127984
soc,check,tpt,0,0.022470287673602,0
soc,cost,att,14014.2366586736,46582.1313873328,51241.3396695314
soc,cost,notx,640.144807114619,98.0139054525824,76.8073223275677
soc,cost,tpt,Inf,7611.06828425155,Inf
soc,ppdcost,att,0.934418362253333,0.637751640908499,0.667722488520185
soc,ppdcost,tpt,0.532477295750345,0.631698405098382,0.556161205417618
